,address,zipcode,city,state,latitude,longitude,amount
2349,4040 West 50th Avenue,80212,Denver,CO,39.787202,-105.040264,398612
2350,3971 West Kenyon Avenue,80236,Denver,CO,39.6506,-105.041445,380897
2351,1555 Stuart Street,,,,,,
2352,3699 West Louisiana Avenue,,,,,,
2353,3222 West 30th Avenue,80211,Denver,CO,39.76005,-105.028737,645523
2354,1723 East 25th Avenue,80205,Denver,CO,39.753501,-104.966449,479461
2355,460 South Alcott Street,80219,Denver,CO,39.70831,-105.016581,378840
2356,1746 Uinta Street,,,,,,
2357,2641 West 23rd Avenue,80211,Denver,CO,39.751581,-105.020226,335003
2358,5680 East 36th Avenue,,,,,,
2359,1801 South Ogden Street,80210,Denver,CO,39.683815,-104.97608,627831
2360,779 Bellaire Street,,,,,,
2361,3153 Larimer Street,,,,,,
2362,118 South Newton Street,80219,Denver,CO,39.714332,-105.036921,455200
2363,18971 Mitchell Place,80249,Denver,CO,39.775537,-104.766004,459889
2364,1428 York Street,80206,Denver,CO,39.738998,-104.95948,624749
2365,1893 Vine Street,80206,Denver,CO,39.746391,-104.962427,482392
2366,3655 Zenobia Street,80212,Denver,CO,39.767177,-105.052929,343763
2367,1852 15th Street,,,,,,
2368,4513 West Wyoming Place,,,,,,
2369,450 South Lafayette Street,80209,Denver,CO,39.708143,-104.970712,700004
2370,840 Lincoln Street,,,,,,
2371,4158 Zuni Street,80211,Denver,CO,39.77398,-105.015526,439962
2372,2952 West Denver Place,80211,Denver,CO,39.769967,-105.02416,447708
2373,808 West 13th Avenue,,,,,,
2374,1247 South Garfield Street,,,,,,
2375,1012 South Downing Street,,,,,,
2376,1243 Gaylord Street,80206,Denver,CO,39.735903,-104.961369,
2377,5202 Federal Boulevard,80221,Denver,CO,39.791359,-105.024715,
2378,3053 West 28th Avenue,80211,Denver,CO,39.757586,-105.026513,637079
2379,4990 Perry Street,80212,DENVER,CO,39.787208,-105.03894,
2380,1777 West 38th Avenue,,,,,,
2381,2899 Ivanhoe Street,,,,,,
2382,2248 Dahlia Street,,,,,,
2383,4257 Green Court,80211,Denver,CO,39.775863,-105.026752,515852
2384,3191 South Holly Place,80222,Denver,CO,39.658232,-104.919839,436088
2385,4518 Beach Court,80211,Denver,CO,39.778233,-105.01788,705913
2386,3400 West Warren Avenue,80219,Denver,CO,39.677116,-105.031043,300417
2387,421 25th Street,80205,Denver,CO,39.752122,-104.979072,652522
2388,2352 Federal Boulevard,80211,Denver,CO,39.752211,-105.024867,565681
2389,2090 South Wolff Street,80219,Denver,CO,39.679371,-105.047675,424925
2390,1745 Irving Street,80204,Denver,CO,39.745004,-105.030342,468262
2391,1471 Josephine Street,80206,Denver,CO,39.739602,-104.959061,746411
2392,2430 West 32nd Avenue,,,,,,
2393,2620 South Garfield Way,80210,Denver,CO,39.668753,-104.94423,705226
2394,3016 Meade Street,80211,Denver,CO,39.760712,-105.035472,807469
2395,1118 Mariposa Street,80204,Denver,CO,39.734084,-105.002461,431018
2396,2401 East Warren Avenue,,,,,,
2397,9115 East Oxford Drive,80237,Denver,CO,39.641665,-104.883173,326409
2398,1579 South Albion Street,,,,,,
2399,1460 Little Raven Street,80202,Denver,CO,39.753952,-105.006534,
2400,537 West 8th Avenue,80204,Denver,CO,39.729087,-104.995057,388579
2401,4848 Bryant Street,80221,Denver,CO,39.78479,-105.018972,362786
2402,2590 Gaylord Street,80205,Denver,CO,39.75427,-104.960627,603762
2403,1733 Grove Street,80204,Denver,CO,39.744716,-105.027175,784902
2404,6401 East Dickenson Place,80222,Denver,CO,39.672505,-104.913781,507589
2405,3045 West 28th Avenue,80211,Denver,CO,39.757585,-105.026333,890210
2406,670 South Bryant Street,80219,Denver,CO,39.704464,-105.017745,396442
2407,3484 Newport Street,,,,,,
2408,3811 Wyandot Street,80211,Denver,CO,39.769543,-105.014998,561767
2409,1440 Josephine Street,80206,Denver,CO,39.739135,-104.958364,838230
2410,2449 East 14th Avenue,80206,Denver,CO,39.738623,-104.95812,746407
2411,3305 Larimer Street,,,,,,
2412,2641 West 23rd Avenue,80211,Denver,CO,39.751581,-105.020226,335003
2413,1653 Fairfax Street,80220,Denver,CO,39.742923,-104.928975,772900
2414,5094 Meade Street,80221,Denver,CO,39.78908,-105.035449,493180
2415,898 South Grape Street,80246,Denver,CO,39.700075,-104.924893,640015
2416,2325 Eliot Street,80211,Denver,CO,39.75174,-105.024113,536357
2417,2332 Decatur Street,80211,Denver,CO,39.751872,-105.021891,686815
2418,4488 Pecos Street,80211,Denver,CO,39.777799,-105.006085,518591
2419,175 South Pearl Street,80209,Denver,CO,39.713413,-104.980703,771124
2420,4734 Vasquez Boulevard,,,,,,
2421,2193 South Holly Street,,,,,,
2422,2870 South Sidney Court,,,,,,
2423,3737 Perry Street,80212,Denver,CO,39.768302,-105.039631,515752
2424,924 33rd Street,80205,Denver,CO,39.762686,-104.974085,525490
2425,3247 West 19th Avenue,80204,Denver,CO,39.746652,-105.029536,1024907
2426,2937 Quebec Street,80207,Denver,CO,39.752044,-104.903775,362201
2427,1959 South Clarkson Street,80210,Denver,CO,39.68104,-104.978481,599325
2428,1733 Williams Street,80218,Denver,CO,39.743763,-104.965984,
2429,1402 Pearl Street,80203,Denver,CO,39.718763,-104.979765,289716
2430,703 Leyden Street,,,,,,
2431,5663 East 36th Avenue,,,,,,
2432,1066 Fillmore Street,80206,Denver,CO,39.733357,-104.952566,469019
2433,3124 West 23rd Avenue,80211,Denver,CO,39.750912,-105.027581,565614
2434,1471 East Asbury Avenue,,,,,,
2435,2899 South Sebring Court,,,,,,
2436,1400 South Vine Street,80210,Denver,CO,39.690977,-104.962575,1062884
2437,8010 East Linvale Place,80231,Denver,CO,39.666761,-104.896584,466895
2438,5388 Netherlands Street,,,,,,
2439,1057 South Cook Street,,,,,,
2440,575 Grape Street,,,,,,
2441,1801 East 24th Avenue,80205,Denver,CO,39.752153,-104.96574,757674
2442,2451 Downing Street,80205,Denver,CO,39.753013,-104.973641,330633
2443,21377 East 53rd Place,,,,,,
2444,2401 Welton Street,,,,,,
2445,1031 Lowell Boulevard,80204,Denver,CO,39.733612,-105.034951,634910
2446,3340 Josephine Street,80205,Denver,CO,39.764016,-104.958193,500563
2447,20313 East 49th Avenue,,,,,,
2448,1517 East 31st Avenue,80205,Denver,CO,39.760992,-104.969113,622824
